,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
330,9998619,HY188859,12/31/2014 10:00:00 PM,053XX W OAKDALE AVE,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,RESIDENCE,True,False,2514,25,31,19,17,1140324.0,1919097.0,2014,02/10/2018 03:50:01 PM,41.934097247,-87.759729084,"(41.934097247, -87.759729084)"
331,9998620,HY188829,03/18/2015 12:35:00 AM,007XX S PULASKI RD,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,1132,11,24,26,03,1149836.0,1896334.0,2015,02/10/2018 03:50:01 PM,41.871453341999995,-87.725365224,"(41.871453342, -87.725365224)"
332,9998621,HY188844,03/18/2015 12:17:00 AM,011XX N LECLAIRE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,True,True,1531,15,37,25,20,1142153.0,1907169.0,2015,02/10/2018 03:50:01 PM,41.901331765,-87.75330393600001,"(41.901331765, -87.753303936)"
333,9998622,HY188864,03/18/2015 03:00:00 AM,005XX S KEDZIE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA STATION,True,False,1134,11,24,27,14,1155124.0,1897322.0,2015,08/17/2015 03:03:40 PM,41.874060099,-87.705924314,"(41.874060099, -87.705924314)"
334,9998623,HY188849,03/18/2015 01:51:00 AM,016XX E 78TH ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,True,False,414,4,8,43,04B,1188707.0,1853593.0,2015,02/10/2018 03:50:01 PM,41.753325200000006,-87.584024746,"(41.7533252, -87.584024746)"
335,9998624,HY188854,03/17/2015 11:00:00 PM,002XX E 89TH ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,632,6,6,44,08B,1179306.0,1846027.0,2015,02/10/2018 03:50:01 PM,41.732782721,-87.618705811,"(41.732782721, -87.618705811)"
336,9998625,HY188858,03/18/2015 01:40:00 AM,011XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,1134,11,24,29,08B,1155208.0,1894719.0,2015,02/10/2018 03:50:01 PM,41.866915508000005,-87.70568578299999,"(41.866915508, -87.705685783)"
337,9998628,HY188822,03/17/2015 05:00:00 PM,081XX S CHAMPLAIN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,631,6,6,44,06,1181978.0,1851263.0,2015,02/10/2018 03:50:01 PM,41.747089601999996,-87.60875563799999,"(41.747089602, -87.608755638)"
338,9998630,HY188840,03/18/2015 01:05:00 AM,080XX S CARPENTER ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,612,6,21,71,06,1170711.0,1851535.0,2015,02/10/2018 03:50:01 PM,41.748088945999996,-87.65003292600001,"(41.748088946, -87.650032926)"
339,9998631,HY188861,03/18/2015 02:29:00 AM,009XX W 18TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,1235,12,25,31,08B,1170244.0,1891598.0,2015,02/10/2018 03:50:01 PM,41.858036303,-87.65057803299999,"(41.858036303, -87.650578033)"
340,9998632,HY188701,03/17/2015 08:12:00 PM,0000X S STATE ST,0460,BATTERY,SIMPLE,CTA STATION,False,False,112,1,42,32,08B,1176390.0,1900219.0,2015,02/10/2018 03:50:01 PM,41.881556538000005,-87.627758535,"(41.881556538, -87.627758535)"
341,9998633,HY188867,03/04/2015 10:00:00 AM,084XX S MARYLAND AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,632,6,8,44,06,1183361.0,1849252.0,2015,02/10/2018 03:50:01 PM,41.741539130999996,-87.60375048200001,"(41.741539131, -87.603750482)"
342,9998634,HY188871,03/18/2015 02:00:00 AM,059XX W ROOSEVELT RD,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,False,False,1513,15,29,25,03,1136772.0,1894065.0,2015,08/17/2015 03:03:40 PM,41.865470783,-87.77338324200001,"(41.865470783, -87.773383242)"
343,9998635,HY188860,03/18/2015 02:40:00 AM,015XX E 63RD ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,False,False,314,3,20,42,08A,1187745.0,1863524.0,2015,02/10/2018 03:50:01 PM,41.780599666,-87.587234377,"(41.780599666, -87.587234377)"
344,9998636,HY188836,03/18/2015 12:55:00 AM,014XX S KEDVALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1011,10,24,29,14,1148952.0,1892745.0,2015,02/10/2018 03:50:01 PM,41.861621833,-87.728703563,"(41.861621833, -87.728703563)"
345,9998637,HY188825,03/17/2015 05:00:00 PM,007XX S CALIFORNIA AVE,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,SIDEWALK,False,False,1135,11,2,27,04B,1157822.0,1896489.0,2015,02/10/2018 03:50:01 PM,41.87171972,-87.696041188,"(41.87171972, -87.696041188)"
346,9998638,HY188791,03/17/2015 10:45:00 PM,073XX S HARVARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,731,7,17,69,14,1175229.0,1856224.0,2015,08/17/2015 03:03:40 PM,41.76085648,-87.633337752,"(41.76085648, -87.633337752)"
